DelStart	DelEnd
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
426	505
512	609
512	609
512	609
512	609
512	609
74	242
74	242
74	242
75	280
75	280
75	280
75	247
75	247
487	621
487	621
517	612
517	612
259	614
259	614
76	280
76	280
706	816
706	816
426	488
426	488
345	434
345	434
719	756
719	756
453	482
453	482
555	755
555	755
675	811
675	811
73	241
57	81
360	419
811	842
733	817
452	755
555	768
75	242
406	725
564	622
59	246
436	488
531	691
368	601
511	587
76	294
418	482
510	543
215	250
133	400
540	601
111	186
21	578
424	489
809	841
467	523
375	419
115	162
369	425
251	375
76	306
447	478
57	279
269	313
563	666
671	755
59	382
317	482
380	448
380	564
579	607
562	621
60	247
339	378
555	696
534	755
319	380
81	165
550	756
231	796
258	305
607	755
760	819
557	614
514	733
451	619
536	754
653	784
780	827
657	686
181	240
780	823
62	185
556	645
353	378
496	801
76	245
52	756
619	646
556	653
718	768
75	299
422	483
461	495
59	357
519	621
60	280
352	480
271	358
380	413
639	801
728	806
111	377
808	839
60	296
22	734
488	564
265	377
107	131
106	209
317	436
374	539
554	684
331	412
71	172
242	279
