SEGMENT	SAMPLE_POS	REF_POS
PB2	1	1	
PB2	2	2	
PB2	3	3	
PB2	4	4	
PB2	5	5	
PB2	6	6	
PB2	7	7	
PB2	8	8	
PB2	9	9	
PB2	10	10	
PB2	11	11	
PB2	12	12	
PB2	13	13	
PB2	14	14	
PB2	15	15	
PB2	16	16	
PB2	17	17	
PB2	18	18	
PB2	19	19	
PB2	20	20	
PB2	21	21	
PB2	22	22	
PB2	23	23	
PB2	24	24	
PB2	25	25	
PB2	26	26	
PB2	27	27	
PB2	28	28	
PB2	29	29	
PB2	30	30	
PB2	31	31	
PB2	32	32	
PB2	33	33	
PB2	34	34	
PB2	35	35	
PB2	36	36	
PB2	37	37	
PB2	38	38	
PB2	39	39	
PB2	40	40	
PB2	41	41	
PB2	42	42	
PB2	43	43	
PB2	44	44	
PB2	45	45	
PB2	46	46	
PB2	47	47	
PB2	48	48	
PB2	49	49	
PB2	50	50	
PB2	51	51	
PB2	52	52	
PB2	53	53	
PB2	54	54	
PB2	55	55	
PB2	56	56	
PB2	57	57	
PB2	58	58	
PB2	59	59	
PB2	60	60	
PB2	61	61	
PB2	62	62	
PB2	63	63	
PB2	64	64	
PB2	65	65	
PB2	66	66	
PB2	67	67	
PB2	68	68	
PB2	69	69	
PB2	70	70	
PB2	71	71	
PB2	72	72	
PB2	73	73	
PB2	74	74	
PB2	75	75	
PB2	76	76	
PB2	77	77	
PB2	78	78	
PB2	79	79	
PB2	80	80	
PB2	81	81	
PB2	82	82	
PB2	83	83	
PB2	84	84	
PB2	85	85	
PB2	86	86	
PB2	87	87	
PB2	88	88	
PB2	89	89	
PB2	90	90	
PB2	91	91	
PB2	92	92	
PB2	93	93	
PB2	94	94	
PB2	95	95	
PB2	96	96	
PB2	97	97	
PB2	98	98	
PB2	99	99	
PB2	100	100	
PB2	101	101	
PB2	102	102	
PB2	103	103	
PB2	104	104	
PB2	105	105	
PB2	106	106	
PB2	107	107	
PB2	108	108	
PB2	109	109	
PB2	110	110	
PB2	111	111	
PB2	112	112	
PB2	113	113	
PB2	114	114	
PB2	115	115	
PB2	116	116	
PB2	117	117	
PB2	118	118	
PB2	119	119	
PB2	120	120	
PB2	121	121	
PB2	122	122	
PB2	123	123	
PB2	124	124	
PB2	125	125	
