DelStart	DelEnd
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
390	649
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
464	513
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	702
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	696
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	654
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
390	667
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
322	748
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
464	499
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
437	484
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	702
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	716
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
322	739
405	696
405	696
405	696
405	696
405	696
405	696
405	696
405	696
405	696
405	696
405	696
405	696
405	696
405	696
405	696
322	696
322	696
322	696
322	696
322	696
322	696
322	696
322	696
322	696
322	696
322	696
322	696
322	696
322	696
449	499
449	499
449	499
449	499
449	499
449	499
449	499
449	499
449	499
449	499
449	499
449	499
449	499
449	499
314	748
314	748
314	748
314	748
314	748
314	748
314	748
314	748
314	748
314	748
314	748
314	748
314	748
437	513
437	513
437	513
437	513
437	513
437	513
437	513
437	513
437	513
437	513
437	513
437	513
437	513
252	702
252	702
252	702
252	702
252	702
252	702
252	702
252	702
252	702
252	702
252	702
252	702
252	702
252	314
252	314
252	314
252	314
252	314
252	314
252	314
252	314
252	314
252	314
252	314
252	314
252	314
314	716
314	716
314	716
314	716
314	716
314	716
314	716
314	716
314	716
314	716
314	716
314	716
437	499
437	499
437	499
437	499
437	499
437	499
437	499
437	499
437	499
437	499
437	499
437	499
384	444
384	444
384	444
384	444
384	444
384	444
384	444
384	444
384	444
384	444
384	444
384	444
464	645
464	645
464	645
464	645
464	645
464	645
464	645
464	645
464	645
464	645
464	645
464	645
314	801
314	801
314	801
314	801
314	801
314	801
314	801
314	801
314	801
314	801
314	801
322	378
322	378
322	378
322	378
322	378
322	378
322	378
322	378
322	378
322	378
322	378
390	739
390	739
390	739
390	739
390	739
390	739
390	739
390	739
390	739
390	739
322	654
322	654
322	654
322	654
322	654
322	654
322	654
322	654
322	654
322	654
390	645
390	645
390	645
390	645
390	645
390	645
390	645
390	645
390	645
390	645
252	766
252	766
252	766
252	766
252	766
252	766
252	766
252	766
252	766
252	766
320	737
320	737
320	737
320	737
320	737
320	737
320	737
320	737
320	737
320	737
390	748
390	748
390	748
390	748
390	748
390	748
390	748
390	748
390	748
390	716
390	716
390	716
390	716
390	716
390	716
390	716
390	716
390	716
322	649
322	649
322	649
322	649
322	649
322	649
322	649
322	649
322	649
437	654
437	654
437	654
437	654
437	654
437	654
437	654
437	654
437	654
384	737
384	737
384	737
384	737
384	737
384	737
384	737
384	737
384	737
449	513
449	513
449	513
449	513
449	513
449	513
449	513
449	513
449	513
252	748
252	748
252	748
252	748
252	748
252	748
252	748
252	748
252	748
405	702
405	702
405	702
405	702
405	702
405	702
405	702
405	702
405	702
314	654
314	654
314	654
314	654
314	654
314	654
314	654
314	654
449	654
449	654
449	654
449	654
449	654
449	654
449	654
449	654
252	739
252	739
252	739
252	739
252	739
252	739
252	739
252	739
400	444
400	444
400	444
400	444
400	444
400	444
400	444
400	444
405	499
405	499
405	499
405	499
405	499
405	499
405	499
761	801
761	801
761	801
761	801
761	801
761	801
761	801
405	626
405	626
405	626
405	626
405	626
405	626
405	626
390	626
390	626
390	626
390	626
390	626
390	626
390	626
464	626
464	626
464	626
464	626
464	626
464	626
464	626
437	645
437	645
437	645
437	645
437	645
437	645
437	645
612	696
612	696
612	696
612	696
612	696
612	696
612	696
390	499
390	499
390	499
390	499
390	499
390	499
390	499
464	581
464	581
464	581
464	581
464	581
464	581
464	581
505	654
505	654
505	654
505	654
505	654
505	654
505	654
314	696
314	696
314	696
314	696
314	696
314	696
449	645
449	645
449	645
449	645
449	645
449	645
521	654
521	654
521	654
521	654
521	654
521	654
322	801
322	801
322	801
322	801
322	801
322	801
332	737
332	737
332	737
332	737
332	737
332	737
358	649
358	649
358	649
358	649
358	649
358	649
322	667
322	667
322	667
322	667
322	667
322	667
378	667
378	667
378	667
378	667
378	667
378	667
378	649
378	649
378	649
378	649
378	649
378	649
437	581
437	581
437	581
437	581
437	581
437	581
405	649
405	649
405	649
405	649
405	649
405	649
405	645
405	645
405	645
405	645
405	645
405	645
464	654
464	654
464	654
464	654
464	654
464	654
437	667
437	667
437	667
437	667
437	667
437	667
437	649
437	649
437	649
437	649
437	649
437	649
464	612
464	612
464	612
464	612
464	612
464	612
322	766
322	766
322	766
322	766
322	766
322	766
612	654
612	654
612	654
612	654
612	654
612	654
612	667
612	667
612	667
612	667
612	667
612	667
263	696
263	696
263	696
263	696
263	696
263	696
63	101
63	101
63	101
63	101
63	101
63	101
477	513
