DelStart	DelEnd
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
571	599
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
842	938
165	349
165	349
165	349
165	349
165	349
165	349
165	349
165	349
165	349
165	349
165	349
165	349
165	349
163	349
163	349
163	349
163	349
163	349
163	349
163	349
163	349
163	349
163	349
163	349
163	349
163	349
766	938
766	938
766	938
766	938
766	938
766	938
766	938
766	938
845	917
845	917
845	917
845	917
845	917
845	917
845	917
845	917
753	837
753	837
753	837
753	837
753	837
753	837
753	837
753	837
840	938
840	938
840	938
840	938
840	938
840	938
840	938
779	938
779	938
779	938
779	938
779	938
779	938
753	780
753	780
753	780
753	780
753	780
658	744
658	744
658	744
658	744
658	744
683	744
683	744
683	744
683	744
683	744
613	654
613	654
613	654
613	654
613	654
165	348
165	348
165	348
165	348
470	562
470	562
470	562
470	562
497	552
497	552
497	552
497	552
849	938
849	938
849	938
849	938
613	651
613	651
613	651
613	651
387	416
387	416
387	416
387	416
840	940
840	940
840	940
284	559
284	559
284	559
825	938
825	938
825	938
163	347
163	347
163	347
840	939
840	939
698	737
698	737
708	748
708	748
690	733
690	733
62	766
62	766
165	340
165	340
165	347
165	347
736	783
736	783
619	768
619	768
619	766
619	766
853	951
853	951
670	756
670	756
822	934
822	934
619	692
619	692
690	794
690	794
842	940
842	940
163	348
163	348
619	789
619	789
619	938
619	938
189	287
189	287
263	349
263	349
666	761
666	761
153	193
153	193
190	226
190	226
706	745
706	745
765	939
765	939
662	761
662	761
666	744
666	744
239	348
239	348
165	574
708	735
165	331
394	457
284	519
822	899
608	648
691	751
667	760
891	937
401	595
110	203
875	938
690	838
709	771
675	767
840	937
623	840
114	346
778	813
715	805
782	933
731	938
420	574
106	349
230	775
173	348
419	794
100	175
805	831
605	650
687	794
421	584
766	944
370	647
855	902
154	347
154	349
162	707
194	259
476	723
715	822
58	349
690	855
686	750
705	735
712	807
620	772
766	812
766	810
61	157
416	667
619	702
648	755
686	743
473	521
61	162
62	519
674	938
482	543
620	769
71	252
497	533
369	451
284	439
712	916
619	651
673	708
79	192
718	817
158	344
247	342
696	786
744	795
439	490
685	716
509	568
744	899
143	223
421	451
211	264
885	976
69	348
102	775
266	945
684	928
655	682
791	827
315	346
568	651
269	338
730	933
352	406
179	346
592	659
863	938
76	348
248	498
863	937
237	366
196	690
284	641
481	554
164	348
474	518
718	949
66	130
767	939
689	722
711	777
158	231
164	344
370	670
784	817
639	938
164	345
248	344
496	550
496	551
672	708
321	559
470	595
462	596
796	825
61	101
167	349
167	348
175	349
704	799
634	775
715	763
460	519
761	830
54	141
229	269
111	196
764	929
676	710
31	731
163	331
842	937
165	603
399	441
420	615
283	549
673	769
605	936
723	762
849	940
568	613
666	696
155	346
672	722
257	287
514	768
683	934
672	724
161	936
622	775
677	788
668	705
284	451
446	938
83	192
781	817
673	728
619	678
707	746
758	787
419	607
413	754
508	600
29	265
63	789
862	951
614	648
388	497
53	212
788	832
163	350
797	857
688	851
717	822
618	751
198	804
165	774
95	349
423	573
687	733
762	793
284	396
647	940
67	336
671	704
206	349
206	347
49	91
62	103
690	754
166	349
499	574
495	670
720	766
413	573
190	345
865	901
348	768
208	249
77	202
843	938
675	711
714	782
398	440
843	935
547	591
60	744
59	84
60	166
54	174
644	751
110	183
282	522
675	815
161	338
706	744
351	556
667	777
849	950
839	867
640	747
166	208
262	350
162	344
389	498
687	748
666	748
687	741
787	834
822	923
483	543
698	754
687	744
52	332
161	328
59	92
686	933
728	754
54	173
60	87
108	163
