DelStart	DelEnd
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	706
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
202	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
219	680
180	666
180	666
180	666
180	666
180	666
180	666
180	666
180	666
180	666
180	666
180	666
180	666
180	666
180	666
180	666
153	670
153	670
153	670
153	670
153	670
153	670
153	670
153	670
153	670
153	670
153	670
153	670
153	670
231	666
231	666
231	666
231	666
231	666
231	666
231	666
231	666
231	666
231	666
231	666
231	666
231	666
373	430
373	430
373	430
373	430
373	430
373	430
373	430
373	430
373	430
373	430
373	430
373	430
373	430
180	670
180	670
180	670
180	670
180	670
180	670
180	670
180	670
180	670
180	670
180	670
180	670
205	670
205	670
205	670
205	670
205	670
205	670
205	670
205	670
205	670
205	670
205	670
205	670
109	169
109	169
109	169
109	169
109	169
109	169
109	169
109	169
109	169
109	169
109	169
109	600
109	600
109	600
109	600
109	600
109	600
109	600
109	600
109	600
109	600
109	600
202	643
202	643
202	643
202	643
202	643
202	643
202	643
202	643
202	643
202	643
202	643
180	598
180	598
180	598
180	598
180	598
180	598
180	598
180	598
180	598
180	598
180	598
153	598
153	598
153	598
153	598
153	598
153	598
153	598
153	598
153	598
153	598
153	598
373	528
373	528
373	528
373	528
373	528
373	528
373	528
373	528
373	528
373	528
280	670
280	670
280	670
280	670
280	670
280	670
280	670
280	670
280	670
280	670
202	728
202	728
202	728
202	728
202	728
202	728
202	728
202	728
202	728
202	728
219	643
219	643
219	643
219	643
219	643
219	643
219	643
219	643
219	643
255	293
255	293
255	293
255	293
255	293
255	293
255	293
255	293
255	293
280	666
280	666
280	666
280	666
280	666
280	666
280	666
280	666
280	666
329	535
329	535
329	535
329	535
329	535
329	535
329	535
329	535
329	535
205	666
205	666
205	666
205	666
205	666
205	666
205	666
205	666
205	666
276	680
276	680
276	680
276	680
276	680
276	680
276	680
276	680
276	680
219	623
219	623
219	623
219	623
219	623
219	623
219	623
219	623
276	643
276	643
276	643
276	643
276	643
276	643
276	643
276	643
357	558
357	558
357	558
357	558
357	558
357	558
357	558
357	558
202	600
202	600
202	600
202	600
202	600
202	600
202	600
202	600
202	623
202	623
202	623
202	623
202	623
202	623
202	623
202	623
456	510
456	510
456	510
456	510
456	510
456	510
456	510
456	510
274	329
274	329
274	329
274	329
274	329
274	329
274	329
274	329
178	643
178	643
178	643
178	643
178	643
178	643
178	643
178	643
205	255
205	255
205	255
205	255
205	255
205	255
205	255
205	255
244	621
244	621
244	621
244	621
244	621
244	621
244	621
244	621
280	329
280	329
280	329
280	329
280	329
280	329
280	329
280	329
109	146
109	146
109	146
109	146
109	146
109	146
109	146
276	558
276	558
276	558
276	558
276	558
276	558
276	558
276	623
276	623
276	623
276	623
276	623
276	623
276	623
414	535
414	535
414	535
414	535
414	535
414	535
414	535
357	528
357	528
357	528
357	528
357	528
357	528
357	528
329	414
329	414
329	414
329	414
329	414
329	414
329	414
205	598
205	598
205	598
205	598
205	598
205	598
205	598
276	353
276	353
276	353
276	353
276	353
276	353
276	353
153	621
153	621
153	621
153	621
153	621
153	621
153	621
231	700
231	700
231	700
231	700
231	700
231	700
231	700
231	293
231	293
231	293
231	293
231	293
231	293
231	293
244	293
244	293
244	293
244	293
244	293
244	293
244	753
244	753
244	753
244	753
244	753
244	753
447	535
447	535
447	535
447	535
447	535
447	535
280	621
280	621
280	621
280	621
280	621
280	621
202	606
202	606
202	606
202	606
202	606
202	606
219	755
219	755
219	755
219	755
219	755
219	755
153	666
153	666
153	666
153	666
153	666
153	666
255	579
255	579
255	579
255	579
255	579
255	579
174	598
174	598
174	598
174	598
174	598
174	598
610	666
610	666
610	666
610	666
610	666
610	666
153	535
153	535
153	535
153	535
153	535
153	535
274	670
274	670
274	670
274	670
274	670
274	670
274	666
274	666
274	666
274	666
274	666
274	666
153	579
153	579
153	579
153	579
153	579
153	579
414	579
414	579
414	579
414	579
414	579
414	579
298	579
298	579
298	579
298	579
298	579
298	579
231	273
231	273
231	273
231	273
231	273
231	273
274	579
274	579
274	579
274	579
274	579
244	279
244	279
244	279
244	279
244	279
219	650
219	650
219	650
219	650
219	650
535	598
535	598
535	598
535	598
535	598
109	159
109	159
109	159
109	159
109	159
414	478
414	478
414	478
414	478
414	478
320	363
320	363
320	363
320	363
320	363
105	172
105	172
105	172
105	172
105	172
123	670
123	670
123	670
123	670
123	670
643	706
643	706
643	706
643	706
643	706
309	621
309	621
309	621
309	621
309	621
513	598
513	598
513	598
513	598
513	598
180	579
180	579
180	579
180	579
180	579
357	430
357	430
357	430
357	430
357	430
729	776
729	776
729	776
729	776
729	776
357	706
357	706
357	706
357	706
357	706
178	680
178	680
178	680
178	680
178	680
231	670
231	670
231	670
231	670
231	670
357	680
357	680
357	680
357	680
357	680
357	600
357	600
357	600
357	600
357	600
153	199
153	199
153	199
153	199
153	199
244	670
244	670
244	670
244	670
244	670
618	666
618	666
618	666
618	666
618	666
244	666
244	666
244	666
244	666
244	666
643	680
643	680
643	680
643	680
535	579
535	579
535	579
535	579
290	598
290	598
290	598
290	598
231	579
231	579
231	579
231	579
373	542
373	542
373	542
373	542
414	525
414	525
414	525
414	525
447	513
447	513
447	513
447	513
535	621
535	621
535	621
535	621
432	558
432	558
432	558
432	558
430	542
430	542
430	542
430	542
280	660
280	660
280	660
280	660
149	643
149	643
149	643
149	643
132	670
132	670
132	670
132	670
180	609
180	609
180	609
180	609
219	721
219	721
219	721
219	721
57	108
57	108
57	108
57	108
219	711
219	711
219	711
219	711
329	478
329	478
329	478
329	478
109	558
109	558
109	558
109	558
109	576
109	576
109	576
109	576
357	404
357	404
357	404
357	404
495	558
495	558
495	558
495	558
465	513
465	513
465	513
465	513
276	389
276	389
276	389
276	389
280	535
280	535
280	535
280	535
276	363
276	363
276	363
276	363
729	769
729	769
729	769
729	769
180	621
180	621
180	621
180	621
180	684
180	684
180	684
180	684
172	598
172	598
172	598
172	598
473	535
473	535
473	535
473	535
205	293
205	293
205	293
205	293
298	598
298	598
298	598
298	598
205	279
205	279
205	279
205	279
447	510
447	510
447	510
447	510
205	684
205	684
205	684
205	684
414	598
414	598
414	598
414	598
255	670
255	670
255	670
255	670
178	706
178	706
178	706
178	706
187	643
187	643
187	643
187	643
180	753
180	753
180	753
180	753
255	598
255	598
255	598
255	598
231	684
231	684
231	684
231	684
174	670
174	670
174	670
174	670
244	691
244	691
244	691
244	691
231	279
231	279
231	279
231	279
123	598
123	598
123	598
123	598
244	660
244	660
244	660
244	660
280	753
280	753
280	753
219	689
219	689
219	689
219	690
219	690
219	690
294	621
294	621
294	621
274	535
274	535
