DelStart	DelEnd
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
120	1354
164	1400
164	1400
164	1400
164	1400
164	1400
164	1400
164	1400
164	1400
164	1400
164	1400
218	1341
218	1341
218	1341
218	1341
218	1341
218	1341
218	1341
218	1341
164	1391
164	1391
164	1391
164	1391
164	1391
164	1391
164	1391
164	1391
164	1362
164	1362
164	1362
164	1362
164	1362
164	1362
377	1024
377	1024
377	1024
377	1024
377	1024
377	1024
548	931
548	931
548	931
548	931
548	931
548	931
199	1274
199	1274
199	1274
199	1274
199	1274
199	1274
170	1208
170	1208
170	1208
170	1208
186	1340
186	1340
186	1340
186	1340
273	1124
273	1124
273	1124
273	1124
1165	1362
1165	1362
1165	1362
1165	1362
164	1343
164	1343
164	1343
164	1343
233	937
233	937
233	937
233	937
418	608
418	608
418	608
418	608
205	1388
205	1388
205	1388
205	1388
183	1420
183	1420
183	1420
183	1420
659	1130
659	1130
659	1130
659	1130
737	1541
737	1541
737	1541
737	1541
1156	1215
1156	1215
1156	1215
1088	1186
1088	1186
1088	1186
164	1386
164	1386
164	1386
544	1002
544	1002
544	1002
228	1266
228	1266
228	1266
425	1198
425	1198
425	1198
163	1340
163	1340
163	1340
164	1178
164	1178
164	1178
569	645
569	645
569	645
610	929
610	929
610	929
290	523
290	523
290	523
163	1321
163	1321
163	1321
186	1274
186	1274
186	1274
191	1235
191	1235
188	1348
188	1348
1199	1325
1199	1325
175	1517
175	1517
499	531
499	531
186	276
186	276
199	1285
199	1285
188	1362
188	1362
186	1324
186	1324
1328	1361
1328	1361
345	1086
345	1086
94	1362
94	1362
105	473
105	473
488	1017
488	1017
161	1340
161	1340
628	1380
628	1380
780	806
780	806
178	220
178	220
124	1323
124	1323
496	582
496	582
449	982
449	982
422	1071
422	1071
533	1058
533	1058
1268	1319
1268	1319
547	1016
547	1016
491	931
491	931
192	1324
192	1324
548	1073
548	1073
1276	1325
1276	1325
192	226
192	226
851	1247
851	1247
186	1012
186	1012
564	1207
564	1207
1356	1388
1356	1388
1342	1380
1342	1380
561	1204
561	1204
214	1266
214	1266
85	110
85	110
273	1175
273	1175
762	808
762	808
163	1285
163	1285
263	1362
263	1362
488	1045
488	1045
448	1121
448	1121
330	1207
330	1207
301	494
301	494
257	306
197	1317
221	1286
110	167
330	1197
1221	1251
331	1240
219	1275
768	792
1314	1365
120	1324
1276	1345
288	1286
1082	1174
186	1344
1398	1428
162	1284
111	168
164	1341
1263	1324
272	1254
1303	1336
193	1320
767	885
1275	1317
305	360
191	1170
599	653
199	1154
392	1503
1065	1161
219	1226
1054	1111
335	1362
