DelStart	DelEnd
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
169	1058
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
173	1229
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
182	1105
76	114
76	114
76	114
76	114
76	114
76	114
76	114
76	114
76	114
76	114
76	114
76	114
76	114
76	114
34	597
34	597
34	597
34	597
34	597
34	597
34	597
34	597
34	597
34	597
34	597
34	597
34	597
170	1059
170	1059
170	1059
170	1059
170	1059
170	1059
170	1059
170	1059
170	1059
170	1059
170	1059
1201	1289
1201	1289
1201	1289
1201	1289
1201	1289
1201	1289
1201	1289
1201	1289
1201	1289
1201	1289
1201	1289
181	1096
181	1096
181	1096
181	1096
181	1096
181	1096
181	1096
181	1096
181	1096
181	1096
181	1096
206	1279
206	1279
206	1279
206	1279
206	1279
206	1279
206	1279
206	1279
206	1279
206	1279
34	106
34	106
34	106
34	106
34	106
34	106
34	106
34	106
34	106
536	1079
536	1079
536	1079
536	1079
536	1079
536	1079
536	1079
536	1079
536	1079
136	1210
136	1210
136	1210
136	1210
136	1210
136	1210
136	1210
136	1210
41	1200
41	1200
41	1200
41	1200
41	1200
41	1200
41	1200
41	1200
106	1229
106	1229
106	1229
106	1229
106	1229
106	1229
106	1229
106	1229
32	124
32	124
32	124
32	124
32	124
32	124
34	115
34	115
34	115
34	115
34	115
34	115
182	989
182	989
182	989
182	989
182	989
182	989
189	1070
189	1070
189	1070
189	1070
189	1070
189	1070
1025	1328
1025	1328
1025	1328
1025	1328
1025	1328
1025	1328
764	1180
764	1180
764	1180
764	1180
764	1180
764	1180
186	989
186	989
186	989
186	989
186	989
186	989
113	1268
113	1268
113	1268
113	1268
113	1268
113	1268
154	1210
154	1210
154	1210
154	1210
154	1210
286	1229
286	1229
286	1229
286	1229
286	1229
186	1050
186	1050
186	1050
186	1050
186	1050
97	121
97	121
97	121
97	121
97	121
86	126
86	126
86	126
86	126
86	126
34	572
34	572
34	572
34	572
34	572
231	1229
231	1229
231	1229
231	1229
231	1229
29	104
29	104
29	104
29	104
29	104
155	204
155	204
155	204
155	204
155	204
274	1159
274	1159
274	1159
274	1159
274	1159
154	641
154	641
154	641
154	641
188	1229
188	1229
